Major League Baseball,,,,,
MAJOR LEAGUE BASEBALL,,,,,
POSITIONAL STRENGTH OVERVIEW BY TEAMS,,,,,
06/02/2061,,,,,
,,,,,
BNN Index | MLB | SCORES | STANDINGS | STATS | TEAMS | PLAYERS | TRANSACTIONS | HISTORY,,,,,
,,,,,
,ARIZONA DIAMONDBACKS 06/02/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Mario Román,3rd,Wally Fleming,27th,3rd
First Basemen,Juan López,26th,José Martínez,9th,25th
Second Basemen,Joe Sandoval,18th,Luis Estrada,25th,21st
Third Basemen,Alfredo Vargas,6th,Azerwal Akua,26th,9th
Shortstops,Wilson Cortéz,3rd,Jonathan Goff,5th,2nd
Left Fielders,Clarence Ellis,6th,Tomás Pérez,21st,9th
Center Fielders,Ferid Negrouz,12th,Dan Turner,1st,6th
Right Fielders,José Valenzuela,25th,Chris Childs,31st,28th
Starting Pitchers,Phil Green,6th,Tony Mendoza,27th,26th
Relievers,Tim Knight,4th,Myron O'Connor,7th,3rd
Closers,Eugenio Pérez,21st,Daniel Padilla,26th,23rd
,ATLANTA BRAVES 06/02/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Rintaro Shimizu,31st,Steve Anderson,27th (tied),31st
First Basemen,Luis López,20th,Steve Henderson,28th,19th
Second Basemen,Takeru Mori,27th,Elvis Huber,12th,26th
Third Basemen,Tomás Rodríguez,8th,Xavier Anderson,8th,7th
Shortstops,Wes Ware,23rd,Wes Rosello,15th,24th
Left Fielders,Chad Zarate,27th,Jonny Archer,1st,20th
Center Fielders,Jesús Reyes,24th,Jeff Whitaker,17th,25th
Right Fielders,Jon Hall,8th,Dave Kwan,2nd,3rd
Starting Pitchers,Jesús Escobar,2nd,Tyrone Webb,14th,4th
Relievers,Lou Jenkins,21st,Jimmy Gilliam,25th,23rd
Closers,Artie Kern,15th,José Moreno,6th,15th
,BALTIMORE ORIOLES 06/02/2061,,,,
Position,Top player,Team ranking,Top prospect,Organizational ranking,Overall ranking
Catchers,Luis Medellín,16th,Randy Reynolds,21st,18th
First Basemen,Juan Garza,5th,Arturo Martínez,20th,5th
Second Basemen,José Rodríguez,17th,Ánibal Ángel,2nd,9th
